suburb,postal_code,street_code,place,province
MATAMELA,8,,-,Gauteng
MODIKOE,300,,-,Mpumalanga
VALFONTEIN,472,,-,Mpumalanga
DICHOEUNG,476,,-,Mpumalanga
MORIPE,496,,-,Mpumalanga
VAALWATER,530,,-,Mpumalanga
NYLPARK,600,,-,Mpumalanga
STEILLOOP,617,,-,Mpumalanga
TSIAME,745,,-,Limpopo
GARAKGOATHA,803,,-,Limpopo
MOKOMENE,811,,-,Limpopo
SHIMANGE,826,,-,Limpopo
SUNDYSIDE,857,,-,Limpopo
THAMAGANE,918,,-,Limpopo
TSHAKHUMA,951,,-,Limpopo
TSHAKHUMA VILLAGE,951,,-,Limpopo
MAMADI,962,,-,Limpopo
TSHITANDANI,963,,-,Limpopo
MONSTERUS,1057,,-,Mpumalanga
MADRAS,1258,,-,Mpumalanga
NTUNDA,1330,,-,Mpumalanga
M'LAPA-KGOMO,1373,,-,Mpumalanga
MLAPA-KGOMO,1373,,-,Mpumalanga
LAKEVILLE,1516,,-,Gauteng
HALFWAY HOUSE,1685,1685,-,Gauteng
SYBELLA,1698,,-,Gauteng
SUNRISE,1723,,-,Gauteng
ONTDEKKERS EXT 3,,1724,-,Gauteng
ONTDEKKERS UIT 3,,1724,-,Gauteng
MAGSMANOR,,1829,-,Gauteng
VON GEUSAU PARK,,1911,-,Gauteng
SEBOKENG,1982,1983,-,Gauteng
CROWN MINES,2025,2092,-,Gauteng
MELDENE,,2092,-,Gauteng
SOPHIATOWN,,2092,-,Gauteng
RIVERSANDS,,2191,-,Gauteng
MONTPARK,,2195,-,Gauteng
TOP SHAYELA,2329,,-,Mpumalanga
VIERFONTEIN,2615,2615,-,North West
MASAKENG,2623,,-,North West
MAREETSANE,2715,,-,North West
MAREETZANE,2715,,-,North West
MOGASNE,2728,,-,North West
MIGA,2756,,-,North West
MASAMANE,2757,,-,North West
MOSEKI,2758,,-,North West
LOGAGENG,2759,,-,North West
LOPORUNG,2761,,-,North West
THOLO-RAPULANA,2785,,-,North West
SEHUME,2787,,-,North West
SELEMOSENG,2788,,-,North West
MOTSOSENG,2789,,-,North West
MADIKWE,2840,2840,-,North West
THANDABANTU,2860,,-,North West
SPRINGBOKPAN,2861,,-,North West
MOKGOLA,2869,,-,North West
WASBANK,2920,,-,KwaZulu Natal
SIZAKANCANE,2960,,-,KwaZulu Natal
ZAMANI,2970,,-,KwaZulu Natal
ZUMANI,2970,,-,KwaZulu Natal
MANZANA,3019,,-,KwaZulu Natal
SITHEMBILE,3022,,-,KwaZulu Natal
MAWK,3112,,-,KwaZulu Natal
MAHLAFUNA,3138,,-,KwaZulu Natal
MAQONGQO,3199,,-,KwaZulu Natal
PIETERMARITZBURG,3200,3201,-,KwaZulu Natal
MBIYO,3222,,-,KwaZulu Natal
NKWAZI,3223,,-,KwaZulu Natal
SLANGSPRUIT,3229,3201,-,KwaZulu Natal
MBEKA,3232,,-,KwaZulu Natal
UNDERBERG,3257,,-,KwaZulu Natal
NCALU,3278,,-,KwaZulu Natal
STEPMORE,3283,,-,KwaZulu Natal
LOURDES,3284,,-,KwaZulu Natal
KWA SIZABANTU,3285,,-,KwaZulu Natal
KWASIZABANTU,3285,,-,KwaZulu Natal
HOWICK,3290,3290,-,KwaZulu Natal
UMZIMKHULU,3297,,-,KwaZulu Natal
UMZIMKULU,3297,,-,KwaZulu Natal
MPHOPHOMENI,3309,,-,KwaZulu Natal
PHUNGASHE,3320,,-,KwaZulu Natal
